Description,ASIN,Product Description,Manufacturer
"Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO? emission.* *Approximate calculations based on information available on www.textilevaluechain.in",  B0BC48NDJP,17 x 28.6 x 46.1 cm; 635 Grams," Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"A sporty versatile Backpack from KILLER, made of KILLER, made of Polyester. It has a top opening compartment & 2 for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry iton your back",? B07Y3P8JYH,22.5 x 31.24 x 45.01 cm; 390 Grams,
"Screen print is go all out and express yourself with cool, trendy prints that run all over and across",B07MZZ3QRR,34.29 x 26.67 x 48.26 cm; 443 Grams,Wildcraft
"This durable and lightweight backpack can keep you sorted throughout the day while also being super stylish, thus making it the perfect modern and functional accessory for both male or female.",B09VPRHL7C,38.1 x 25.4 x 12.7 cm; 160 Grams,Garima Castings Private Limited
"Northzone backpack if you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility this backpack can fit a 38.1 cm laptop comfortably. Compartments this bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets the two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, id card and other knick-knacks, so you can access them easily.",B07FL9YKSX,17.78 x 45.72 x 25.4 cm; 499 Grams," Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086"
Wipe with Damp Cloth, ? B0BC4B4VRM,17 x 28.6 x 46.1 cm; 635 Grams,Acefour Accessories Pvt. Ltd.
"Size:18*13*9 inch(L*W*H), Capacity: 36.5L which is bigger than others of the same style. Good size for school, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket", B07XVMR33Q,45.72 x 33.02 x 22.86 cm; 440 Grams,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
"The Atlantis Hexa laptop bag from lavie Sport is a 15.6"" laptop backpack with a unique and versatile design. Sturdy, spacious, and built to last quality is the spirit of this backpack. It features multi-ventilated mesh back padding and adjustable shoulder straps for ease and comfort. Atlantis series of bags are built with splash-resistant premium polyester fabric",B0881WNL79,32 x 49 x 21.01 cm; 500 Grams,Bagzone Lifestyle Pvt Ltd
Color Name: Marshmallow 2; Special Features: Laptop Compartment; Compartment Description: Up To 16 Inches; Age Range Description: Adult; Warranty Description: 1 Year Manufacturing Warranty Against Manufacturing Defects,B09BQJZ1P8,46 x 32 x 22 cm; 500 Grams,": ? GEE KAY ENTERPRISES, (AUXTER ) GEE KAY ENTERPRISES ,72 Anoop Nagar Leather Complex Road,Jalandhar Punjab 140021 India . 8146718618 , auxterbags@gmail.com"
"MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more,",B07XVMVV77,45.72 x 33.02 x 22.86 cm; 440 Grams,"? Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers,B0B8NX7SXR,14.5 x 30 x 46 cm; 511 Grams,"? Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"One large main compartment - Straight-cut, padded shoulder straps - Front utility pocket ,Attractive black colour, single compartment,soft shell, padded Backpadding handle, Zipper Closure,Bottle/umbrella pocke",B08CKV4J1M,20 x 5 x 20 cm; 310 Grams,? Unisex-adult
Material Type: Polyester; Style Name: Classic; Lining Description: Polyester; Closure Type: Zipper; Color Name: Black; Pocket Description: Utility Pocket; Strap Type: Shoulder Strap; Pattern Name: Solid; Age Range Description: Adult,B09NSYRWJD,12.7 x 30.48 x 45.72 cm; 360 Grams,ONEGO ENTERPRISES
"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier.
Compatibility This backpack can fit a 38.1 cm laptop comfortably.
Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease.
Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."," B08GJ2Q6HV
",50.8 x 30.48 x 25.4 cm; 499 Grams,? Unisex-adult
"At Grear, innovation and providing a great shopping experience is the main concept of us. We are committed to providing our consumers with high quality and cost-effective products, which aims to make the consumers really feel the charm of the product itself. Believe us! Choose Grear product, you will not regret!",B09G214VT5,61 x 21 x 32 cm,Unisex-adult
"""The Zuka is the newest addition to Simple Modern's exclusive backpack collection! This stylish backpack is ideal for school, work, traveling, and everyday use and best for exam time for men, women and kids. It features a padded laptop sleeve, tablet sleeve, small pockets for pens and USB, a zip-closure mesh pocket, two exterior zip-closure pockets, padded adjustable straps and a travel strap. In addition, the Legacy includes two water bottle sleeves. Pick your favorite color and enjoy the your everyday adventures.",B0BFBRC45G,12.5 x 17.5 x 40 cm; 400 Grams,F M Purse
"RAIN COVER & PREMIUM FABRIC : POLESTAR RANKER”, Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 46 cm X 32 cm X 22 cm : 32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack . This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 vertical long zip pocket at front, one laptop partition, 1 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage, school / college / office n travel.",B084C84GTR,46 x 32 x 22 cm; 540 Grams,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
"At Grear, innovation and providing a great shopping experience is the main concept of us. We are committed to providing our consumers with high quality and cost-effective products, which aims to make the consumers really feel the charm of the product itself. Believe us! Choose Grear product, you will not regret!",B09K6MZZZL,27.5 x 10 x 42.5 cm; 280 Grams,Unisex-child
Water Resistance Level: Water Resistant; Warranty Description: 1; Special Features: Laptop Compartment; Compartment Description: Up To 14 Inches,B08R58K6QX,30.48 x 20.32 x 45.09 cm; 670 Grams," EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093, B-2 Nandkishore Ind.Estate off, Mahakali Caves Road, Andheri East Mumbai-400093, Customer Care No-9321366003"
"A sporty versatile Backpack from Northzone. It has a top opening compartment for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",? B086777L4Y,30.48 x 50.8 x 25.4 cm; 499 Grams,Unisex-adult
"With bold geometric print, the Genie spray backpack is perfect to stand out amongst your friends. Made with nylon twill, the feather-light pack comes with an insulated front pocket to keep lunch warm. The spacious three compartment bag has an additional front pocket, a secret compartment, and a happy pouch.",B07QFF2RZR,48 x 33 x 23 cm; 665 Grams,": ? Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"Stylish and spacious 2 Compartment, 1 Front Pocket, Organiser, Printed Design, Cushioned Shoulder strap & Fabric Bottle Holder on the sid",B0B3XWD2CS, 29 x 16 x 48 cm; 370 Grams,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
"Stylish and spacious 2 Compartment, 1 Front Pocket, Organiser, Printed Design, Cushioned Shoulder strap & Fabric Bottle Holder on the side",B0B3XYM2VG,29 x 16 x 48 cm; 370 Grams,"? VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
"Stylish and spacious 2 Compartment, 1 Front Pocket, Organiser, Printed Design, Cushioned Shoulder strap & Fabric Bottle Holder on the side",B0B3XZH37K, 29 x 16 x 48 cm; 370 Grams," ? VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
"Safari Raw is a 35 Litres, 3 compartment rain cover backpack perfect for daily usage. This backpack comes with a rain cover to keep your belongings dry and safe during monsoons. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",B09B27HJS2,47 x 33 x 20 cm; 350 Grams,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable backpack for school /college, daily casual use and travel. . Size: 19 inch X 13 inch X 8.75 inch. Capacity : 35 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects",? B08BP3N8TV, 22.23 x 33.02 x 48.26 cm; 490 Grams, Lunar's
"school bag for Super Quality Assured Provided By Customers it's Unisex Backpack, Laptop Bags, College Bags, also is the light Weight Premium trendy and tough. The straps are to reduce the weight off the shoulder. There are various pockets and compartments along with toughened zips to ensure maximum security and portability. It has spacious compartments, and 1 small inside compartment for laptop, 2 side mesh pockets for umbrella and water bottle. The back is full padded. The shoulder straps are padded and adjustable.",B09V1NQJZB,31.75 x 22.86 x 45.72 cm; 450 Grams,BLUECRAFT IN TELANGANA HYDERABAD 8008355628
"At HEART CHOICE Bags, we believe travel should be fun. We take pride in making stylish, high quality, and yes, fun backpacks that you can rely on. Marking our presence in 100+ countries making it the most preferred luggage brand worldwide.",B09P7FQMN9,11 x 9 x 17 cm; 350 Grams,HEART CHOICE
"Designed for all Indians - Fur Jaden Mini Backpack is designed for the daily commuter who is looking for a backpack and who need a bag with limited space to carry basic and essential items while on the move. This can be used by Students, Professionals, Boys, Girls, Men and Women of all age groups.",B086PTXBDN,25 x 9 x 40 cm; 180 Grams," Fur Jaden, Fur Jaden, 3-C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
"A sporty versatile Backpack from KILLER, made of KILLER, made of Polyester. It has a top opening compartment & 2 for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry iton your back", ? B07Y3BT7Q6,22.5 x 31.24 x 45.01 cm; 390 Grams,KILLER
"LARGE CAPACITY: This large travel backpack offers you more packing capacity. Unzipping to get 40L storage then can easily hold school books, everyday packing, make-up bag, outfits, camera bag and gear, etc. It fits overhead and under seat while on state of standard carry on size, is ideal for kids, men, women, weekend traveller, or occasional vacationer. This versatile luggage backpack also meets airline carry-on requirements, for domestic & international airlines",B0B8WDQT4V, ? 20 x 33 x 47 cm; 350 Grams,Sunny Bag Industries
"RAIN COVER & PREMIUM FABRIC : POLESTAR RANKER”, Stylish and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 46 cm X 32 cm X 22 cm : 32 liters .We are providing a “ FREE RAIN COVER “ inside a bottom zipper pocket , which makes this An all-weather backpack . This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 vertical long zip pocket at front, one laptop partition, 1 water bottle /umbrella pockets and Organizer Pockets inside. Suitable for casual usage, school / college / office n travel.",B08421FNT3,46 x 32 x 22 cm; 510 Grams,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
"MATERIAL & QUALITY:-Made from premium water resistant Polyester, Nylon, Plastic, Metal, Fabric provide strengthen and long-lasting performance",B08F9SFYXQ,30 x 20 x 3 cm; 399 Grams, Shri Salasar Enterprises
