Product URL,Product Name,Product Price,Rating,Number Of Reviews
https://www.amazon.in/AirCase-Anti-Gravity-Ergonomic-Technology-Protected/dp/B0B87K8YHG/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1663946618&refinements=p_72%3A1318478031&rnid=1318475031&sprefix=ba%2Caps%252&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExRkxJVk42TDRFQkxUJmVuY3J5cHRlZElkPUEwNzQ0MzY5WTY1NzFRM0QwUVFGJmVuY3J5cHRlZEFkSWQ9QTA1MzQzNzgzSTNaSzEzTzE4S0hIJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"      AirCase Anti-Gravity Backpack for Men & Women, Weight Reducing 15.6” Laptop Bag for Travel & Office, Ergonomic Technology for Posture & Muscle Support, Patent Protected, in-Built Shock Absorber, Grey","?3,999.00",5 out of 5,4
https://www.amazon.in/WENGER-604428-Laptop-Backpack-Centimeters/dp/B07DKW5X1W/ref=sr_1_2_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1663946618&refinements=p_72%3A1318478031&rnid=1318475031&sprefix=ba%2Caps%252&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExRkxJVk42TDRFQkxUJmVuY3J5cHRlZElkPUEwNzQ0MzY5WTY1NzFRM0QwUVFGJmVuY3J5cHRlZEFkSWQ9QTA5MDg0NjQxWFlKOTI5NlZDUVA1JndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,"WENGER 604428 MARS 16 Inch Laptop Backpack Blue 46 Centimeters, M","?2,940.00",4.5 out of 5,2
https://www.amazon.in/dp/B08R7RPVJF/ref=sspa_dk_detail_0?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B08R7RPVJFp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,`Lenovo Slim Everyday Backpack,?599.00,4.4 out of 5,"1,966"
https://www.amazon.in/dp/B0B81YTTWS/ref=sspa_dk_detail_1?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B0B81YTTWSp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,550.00",4 out of 5,28
https://www.amazon.in/dp/B084QGF2JM/ref=sspa_dk_detail_2?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B084QGF2JMp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"Arctic Hunter Laptop Bag,35L Expandable Backpack for Travel Business Backpack Fit Upto 17 inch Laptop Water-resistant Anti-theft Backapck with USB Charging Port Multi-Layer Large Capacity Bag,Black","3,303.00",4.5 out of 5,128
https://www.amazon.in/dp/B085M4TFND/ref=sspa_dk_detail_4?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B085M4TFNDp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"US AER U.S.AER Backpack Model-X (Space Black)/ Water Repellent/ 15.6"" Laptop Compatibility","? 1,499.00",5 out of 5,4
https://www.amazon.in/dp/B0B68ZS5G1/ref=sspa_dk_detail_5?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B0B68ZS5G1p13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"uppercase Medium 19L Laptop Backpack 1600EBP1 Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty","? 1,000.00",4.5 out of 5,56
https://www.amazon.in/dp/B084QGF2JM/ref=sspa_dk_detail_6?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B084QGF2JMp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"Arctic Hunter Laptop Bag,35L Expandable Backpack for Travel Business Backpack Fit Upto 17 inch Laptop Water-resistant Anti-theft Backapck with USB Charging Port Multi-Layer Large Capacity Bag,Black","? 3,303.00",4.5 out of 5,128
https://www.amazon.in/dp/B084LBMKMT/ref=sspa_dk_detail_7?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B084LBMKMTp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"Arctic Hunter Slim Laptop Backpack Fit 15.6 Inch Business Travel Bag with Luggage Strap, Water Resistant Backpack for Men & Woman","? 2,499.00",4.2 out of 5,61
https://www.amazon.in/dp/B00QMFAWBO/ref=sspa_dk_detail_8?ie=UTF8&psc=1&pd_rd_i=&pd_rd_i=B00QMFAWBOp13NParams&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,Wenger 18 Ltrs Black Laptop Backpack (72992290),"? 5,208.00",4.6 out of  5,2
